# P, Pc, E, M, R, EoS
9.739339113166667458e-13 5.000000000000000000e+00 1.687780607670524091e+02 3.924147437114275938e-01 1.403999999999765791e+01 ska
9.220507962773465075e-13 6.000000000000000000e+00 1.803210754996411822e+02 4.423581533136878852e-01 1.383199999999777319e+01 ska
9.911452009813879282e-13 7.000000000000000000e+00 1.907333443790192860e+02 4.886213907787869126e-01 1.369899999999784690e+01 ska
9.879819989537614637e-13 8.000000000000000000e+00 2.002711296927906517e+02 5.317838031879652538e-01 1.360899999999789678e+01 ska
9.100641387833967990e-13 9.000000000000000000e+00 2.091085498429275731e+02 5.722813693934694079e-01 1.354599999999793170e+01 ska
6.906633959117433799e-13 1.000000000000000000e+01 2.173699757827625092e+02 6.104532288392581219e-01 1.349999999999795719e+01 ska
7.955463836480528475e-13 1.100000000000000000e+01 2.251477217796845594e+02 6.465702004118732971e-01 1.346499999999797659e+01 ska
9.508526970717899980e-13 1.200000000000000000e+01 2.325124265503717140e+02 6.808531756644304878e-01 1.343799999999799155e+01 ska
8.093520120608003457e-13 1.300000000000000000e+01 2.395194975933185049e+02 7.134855032596703062e-01 1.341699999999800319e+01 ska
9.613610832164083189e-13 1.400000000000000000e+01 2.462132970188588956e+02 7.446215972747090017e-01 1.339999999999801261e+01 ska
8.698120162797068499e-13 1.500000000000000000e+01 2.526299637153096285e+02 7.743931447650033162e-01 1.338599999999802037e+01 ska
5.443625351790600094e-13 1.600000000000000000e+01 2.587993765516977760e+02 8.029136297544945400e-01 1.337499999999802647e+01 ska
4.321594926974063686e-13 1.700000000000000000e+01 2.647465568915487779e+02 8.302817743624895108e-01 1.336499999999803201e+01 ska
4.007253144366194134e-13 1.800000000000000000e+01 2.704926937992110538e+02 8.565841396962866616e-01 1.335599999999803700e+01 ska
6.356101153466358725e-13 1.900000000000000000e+01 2.760559085670055310e+02 8.818971848767721555e-01 1.334799999999804143e+01 ska
7.287338943015221603e-13 2.000000000000000000e+01 2.814518349487427145e+02 9.062888563737154790e-01 1.334099999999804531e+01 ska
9.474591052838027320e-13 2.100000000000000000e+01 2.866940664325801436e+02 9.298199070397070720e-01 1.333399999999804919e+01 ska
3.319893173472217319e-13 2.200000000000000000e+01 2.917945058438542674e+02 9.525449013111176866e-01 1.332899999999805196e+01 ska
3.272497171467907205e-13 2.300000000000000000e+01 2.967636420359725662e+02 9.745131056052427354e-01 1.332299999999805529e+01 ska
3.790490496485446118e-13 2.400000000000000000e+01 3.016107713564781534e+02 9.957691748143899790e-01 1.331699999999805861e+01 ska
6.333976424587035727e-13 2.500000000000000000e+01 3.063441767323657245e+02 1.016353740475533618e+00 1.331099999999806194e+01 ska
5.896104535492361247e-13 2.600000000000000000e+01 3.109712738411568012e+02 1.036303905164327910e+00 1.330599999999806471e+01 ska
4.761227148864330769e-13 2.700000000000000000e+01 3.154987314397156979e+02 1.055653668622568153e+00 1.330099999999806748e+01 ska
4.525117142696279513e-13 2.800000000000000000e+01 3.199325711996104360e+02 1.074434266776360669e+00 1.329599999999807025e+01 ska
6.795590721123569663e-13 2.900000000000000000e+01 3.242782511406490471e+02 1.092674487347943479e+00 1.328999999999807358e+01 ska
5.935445140501684698e-13 3.000000000000000000e+01 3.285407358254104224e+02 1.110400924469313377e+00 1.328499999999807635e+01 ska
1.217544716054961935e-12 3.100000000000000000e+01 3.327245557833479097e+02 1.127638204620795115e+00 1.327999999999807912e+01 ska
1.155224461937652641e-12 3.200000000000000000e+01 3.368338581085217243e+02 1.144409195656012290e+00 1.327499999999808189e+01 ska
1.004435322516356522e-12 3.300000000000000000e+01 3.408724497747534770e+02 1.160735156361489384e+00 1.326999999999808466e+01 ska
9.090027457316545737e-13 3.400000000000000000e+01 3.448438349036911177e+02 1.176635905688338202e+00 1.326399999999808799e+01 ska
5.166229900986988466e-13 3.500000000000000000e+01 3.487512469817465899e+02 1.192129965234427047e+00 1.325899999999809076e+01 ska
7.810119040382827323e-13 3.600000000000000000e+01 3.525976768342483183e+02 1.207234624052041072e+00 1.325299999999809408e+01 ska
5.765444921522885846e-13 3.700000000000000000e+01 3.563858970170757630e+02 1.221966120468503725e+00 1.324799999999809685e+01 ska
1.593888227778806005e-12 3.800000000000000000e+01 3.601184831683385710e+02 1.236339671428586140e+00 1.324299999999809963e+01 ska
2.018016912652822177e-12 3.900000000000000000e+01 3.637978327684649571e+02 1.250369576461902499e+00 1.323699999999810295e+01 ska
1.171251212122094758e-12 4.000000000000000000e+01 3.674261816812079360e+02 1.264069312275425183e+00 1.323199999999810572e+01 ska
1.574944668918567354e-12 4.100000000000000000e+01 3.710056187866146047e+02 1.277451561520680734e+00 1.322599999999810905e+01 ska
1.024672933991641058e-12 4.200000000000000000e+01 3.745380989669272367e+02 1.290528305065970160e+00 1.322099999999811182e+01 ska
1.280577851339461435e-12 4.300000000000000000e+01 3.780254546653672492e+02 1.303310848142585243e+00 1.321499999999811514e+01 ska
2.181285398820091942e-12 4.400000000000000000e+01 3.814694062039738469e+02 1.315809894539638591e+00 1.320899999999811847e+01 ska
2.526467621854722946e-12 4.500000000000000000e+01 3.848715710187314016e+02 1.328035581289996658e+00 1.320299999999812179e+01 ska
8.560021262172402987e-13 4.600000000000000000e+01 3.882334719469930064e+02 1.339997512981502714e+00 1.319699999999812512e+01 ska
1.006443413987265341e-12 4.700000000000000000e+01 3.915565446828200606e+02 1.351704735809290181e+00 1.319199999999812789e+01 ska
2.024284170149319104e-12 4.800000000000000000e+01 3.948421444996069454e+02 1.363166046594084468e+00 1.318599999999813122e+01 ska
2.200784664394585809e-12 4.900000000000000000e+01 3.980915523256804818e+02 1.374389606004667419e+00 1.317999999999813454e+01 ska
2.329416443629971722e-12 5.000000000000000000e+01 4.013059802470074260e+02 1.385383255905508371e+00 1.317399999999813787e+01 ska
2.454421276310114226e-12 5.100000000000000000e+01 4.044865765013446435e+02 1.396154444054346078e+00 1.316799999999814119e+01 ska
2.553889394653059479e-12 5.200000000000000000e+01 4.076344300198297788e+02 1.406710284622364249e+00 1.316199999999814452e+01 ska
2.686567743243420176e-12 5.300000000000000000e+01 4.107505745648879838e+02 1.417057569660417737e+00 1.315599999999814784e+01 ska
2.626498380594727795e-12 5.400000000000000000e+01 4.138359925072392684e+02 1.427202763809218844e+00 1.314999999999815117e+01 ska
