# P, Pc, E, M, R, EoS
8.862251159710469085e-13 5.000000000000000000e+00 1.534863285504718817e+02 4.413129785747434974e-01 1.424699999999754318e+01 W
7.723319202722924283e-13 6.000000000000000000e+00 1.626524932948435946e+02 5.040007764194794904e-01 1.413799999999760360e+01 W
6.931298076782608006e-13 7.000000000000000000e+00 1.708702079135486258e+02 5.626365703931029971e-01 1.408799999999763131e+01 W
9.356951531352954002e-13 8.000000000000000000e+00 1.783606219617589090e+02 6.177604304680678338e-01 1.406899999999764184e+01 W
9.498990724891906833e-13 9.000000000000000000e+00 1.852729116103149352e+02 6.697954831642414231e-01 1.406799999999764239e+01 W
5.498842398800069302e-13 1.000000000000000000e+01 1.917129546544375671e+02 7.190820313549860510e-01 1.407799999999763685e+01 W
7.571687754594262232e-13 1.100000000000000000e+01 1.977588911846117412e+02 7.658996879121315882e-01 1.409199999999762909e+01 W
5.703287722381919163e-13 1.200000000000000000e+01 2.034702044139937129e+02 8.104822651337106887e-01 1.410999999999761911e+01 W
7.773547922629775090e-13 1.300000000000000000e+01 2.088933299413211557e+02 8.530281100443249942e-01 1.412899999999760858e+01 W
6.434506296932672015e-13 1.400000000000000000e+01 2.140652828073477849e+02 8.937075918332971769e-01 1.414899999999759750e+01 W
5.045078888242602516e-13 1.500000000000000000e+01 2.190160928451390134e+02 9.326685405800452244e-01 1.416899999999758641e+01 W
8.619992498758304497e-13 1.600000000000000000e+01 2.237704923382331117e+02 9.700404015478679698e-01 1.418799999999757588e+01 W
6.831984792458519311e-13 1.700000000000000000e+01 2.283491174015358638e+02 1.005937407718004328e+00 1.420699999999756535e+01 W
8.219045726309823695e-13 1.800000000000000000e+01 2.327693832407244088e+02 1.040461036122105609e+00 1.422499999999755538e+01 W
3.865040520883897026e-13 1.900000000000000000e+01 2.370461348138595383e+02 1.073702006613151960e+00 1.424299999999754540e+01 W
3.827020911356098177e-13 2.000000000000000000e+01 2.411921391840109266e+02 1.105741829647183705e+00 1.425899999999753653e+01 W
9.307205789915356355e-13 2.100000000000000000e+01 2.452184639818719916e+02 1.136654125565854878e+00 1.427399999999752822e+01 W
6.971589336352607397e-13 2.200000000000000000e+01 2.491347724322708359e+02 1.166505643763800171e+00 1.428799999999752046e+01 W
4.545879259813932496e-13 2.300000000000000000e+01 2.529495562540409992e+02 1.195357171745113023e+00 1.430199999999751270e+01 W
5.689354856588606629e-13 2.400000000000000000e+01 2.566703216190812213e+02 1.223264250042055412e+00 1.431399999999750605e+01 W
4.884931714583929735e-13 2.500000000000000000e+01 2.603037391722920688e+02 1.250277794476905235e+00 1.432599999999749940e+01 W
1.015845683832434334e-12 2.600000000000000000e+01 2.638557662026919388e+02 1.276444632263448620e+00 1.433699999999749330e+01 W
1.065670460397750267e-12 2.700000000000000000e+01 2.673317469965133455e+02 1.301807933199022660e+00 1.434699999999748776e+01 W
1.187778902284079916e-12 2.800000000000000000e+01 2.707364959241064639e+02 1.326407605741589446e+00 1.435599999999748277e+01 W
9.685319073031430952e-13 2.900000000000000000e+01 2.740743667356459241e+02 1.350280638118594778e+00 1.436399999999747834e+01 W
6.189476240912964015e-13 3.000000000000000000e+01 2.773493107466093193e+02 1.373461386395095074e+00 1.437199999999747391e+01 W
6.899417595150911877e-13 3.100000000000000000e+01 2.805649260016142534e+02 1.395981813360860802e+00 1.437899999999747003e+01 W
1.789496164564067059e-12 3.200000000000000000e+01 2.837244990584470088e+02 1.417871745996565958e+00 1.438599999999746615e+01 W
1.792334304925914423e-12 3.300000000000000000e+01 2.868310406937923176e+02 1.439159013454779590e+00 1.439199999999746282e+01 W
