# P, Pc, E, M, R, EoS
8.517315070979065840e-13 5.299999999999998934e+00 1.984445553509064553e+02 3.149696078573028801e-01 1.301899999999822377e+01 SCVBB
9.988125592749049110e-13 5.399999999999998579e+00 1.997819575187345436e+02 3.189558879329111862e-01 1.298599999999824206e+01 SCVBB
9.685655576977603880e-13 5.499999999999999112e+00 2.011039977138610197e+02 3.229127893151262918e-01 1.295499999999825924e+01 SCVBB
8.615678574722437772e-13 5.599999999999998757e+00 2.024111347441113367e+02 3.268408508228342613e-01 1.292599999999827531e+01 SCVBB
7.990326315872711650e-13 5.699999999999999289e+00 2.037038058218950880e+02 3.307405921529935067e-01 1.289799999999829083e+01 SCVBB
7.699008077769568739e-13 5.799999999999998934e+00 2.049824279395689075e+02 3.346125186240831439e-01 1.287099999999830580e+01 SCVBB
8.767490881367575705e-13 5.899999999999998579e+00 2.062473991351260452e+02 3.384571186653085872e-01 1.284499999999832021e+01 SCVBB
8.855988239079710501e-13 5.999999999999999112e+00 2.074990996586582241e+02 3.422748667514517451e-01 1.281999999999833406e+01 SCVBB
7.623254903454214005e-13 6.099999999999998757e+00 2.087378930488861783e+02 3.460662228040082278e-01 1.279699999999834681e+01 SCVBB
7.735931861068900801e-13 6.199999999999998401e+00 2.099641271280460160e+02 3.498316350085371451e-01 1.277399999999835956e+01 SCVBB
8.961838703130376743e-13 6.299999999999998934e+00 2.111781349225335589e+02 3.535715327231662708e-01 1.275199999999837175e+01 SCVBB
8.821469912533117439e-13 6.399999999999998579e+00 2.123802355159325543e+02 3.572863384547462773e-01 1.273099999999838339e+01 SCVBB
8.429343680188319350e-13 6.499999999999998224e+00 2.135707348403667538e+02 3.609764600816872115e-01 1.271099999999839447e+01 SCVBB
7.727436876795407083e-13 6.599999999999998757e+00 2.147499264115106428e+02 3.646422983962971376e-01 1.269199999999840500e+01 SCVBB
9.450685445665895285e-13 6.699999999999998401e+00 2.159180920120602991e+02 3.682842335834980441e-01 1.267299999999841553e+01 SCVBB
9.416844183850808802e-13 6.799999999999998934e+00 2.170755023279892555e+02 3.719026421065961263e-01 1.265499999999842551e+01 SCVBB
8.843301836779197260e-13 6.899999999999998579e+00 2.182224175414949912e+02 3.754978935045845678e-01 1.263799999999843493e+01 SCVBB
7.720235717379204793e-13 6.999999999999998224e+00 2.193590878841663709e+02 3.790703385465473696e-01 1.262199999999844380e+01 SCVBB
7.566984792192634461e-13 7.099999999999998757e+00 2.204857541535680525e+02 3.826203236736087088e-01 1.260599999999845267e+01 SCVBB
9.749758302836920598e-13 7.199999999999998401e+00 2.216026481961407626e+02 3.861481857850201926e-01 1.258999999999846153e+01 SCVBB
9.812086528167105797e-13 7.299999999999998934e+00 2.227099933590485250e+02 3.896542528026581964e-01 1.257499999999846985e+01 SCVBB
9.020133743634219551e-13 7.399999999999998579e+00 2.238080049133668865e+02 3.931388441682608370e-01 1.256099999999847761e+01 SCVBB
9.119990632933292310e-13 7.499999999999998224e+00 2.248968904507903233e+02 3.966022696603389575e-01 1.254699999999848536e+01 SCVBB
8.297727523012764222e-13 7.599999999999998757e+00 2.259768502558455339e+02 4.000448339393010699e-01 1.253399999999849257e+01 SCVBB
8.250506180403024171e-13 7.699999999999998401e+00 2.270480776554245779e+02 4.034668302570505460e-01 1.252099999999849977e+01 SCVBB
7.299752113455989232e-13 7.799999999999998046e+00 2.281107593472943904e+02 4.068685503576229268e-01 1.250899999999850642e+01 SCVBB
7.014924929093051005e-13 7.899999999999998579e+00 2.291650757091005914e+02 4.102502738451457298e-01 1.249699999999851308e+01 SCVBB
8.847356365857123116e-13 7.999999999999998224e+00 2.302112010892538194e+02 4.136122749517022190e-01 1.248499999999851973e+01 SCVBB
6.728423938255052292e-13 8.099999999999997868e+00 2.312493040809743547e+02 4.169548219164471159e-01 1.247399999999852582e+01 SCVBB
8.081736348632778457e-13 8.199999999999999289e+00 2.322795477806643589e+02 4.202781767160261861e-01 1.246299999999853192e+01 SCVBB
8.681538655312123411e-13 8.299999999999997158e+00 2.333020900316839175e+02 4.235825945286794125e-01 1.245199999999853802e+01 SCVBB
8.041213730142610498e-13 8.399999999999998579e+00 2.343170836545207294e+02 4.268683245865271259e-01 1.244199999999854356e+01 SCVBB
7.994834279966783589e-13 8.499999999999998224e+00 2.353246766642649561e+02 4.301356103429340716e-01 1.243199999999854910e+01 SCVBB
6.736250654943849374e-13 8.599999999999997868e+00 2.363250124762305688e+02 4.333846909308854967e-01 1.242299999999855409e+01 SCVBB
7.718708583677452509e-13 8.699999999999997513e+00 2.373182301004979990e+02 4.366157985969086885e-01 1.241299999999855963e+01 SCVBB
9.062643035244561178e-13 8.799999999999998934e+00 2.383044643260966780e+02 4.398291613054649551e-01 1.240399999999856462e+01 SCVBB
9.333518795455601497e-13 8.899999999999998579e+00 2.392838458954881844e+02 4.430250013621452321e-01 1.239499999999856961e+01 SCVBB
6.598955890944704232e-13 8.999999999999998224e+00 2.402565016699657008e+02 4.462035373375383696e-01 1.238699999999857404e+01 SCVBB
9.423908337390053064e-13 9.099999999999997868e+00 2.412225547865363922e+02 4.493649815920751633e-01 1.237799999999857903e+01 SCVBB
9.185660133034528004e-13 9.199999999999997513e+00 2.421821248068147554e+02 4.525095431495069764e-01 1.236999999999858346e+01 SCVBB
