# P, Pc, E, M, R, EoS
9.440032322100374751e-13 2.299999999999999822e+00 1.446609380084072143e+02 1.810078670824287472e-01 1.596199999999659269e+01 APR_1
9.406781799550331471e-13 2.399999999999999467e+00 1.467701308645948757e+02 1.865279749923975383e-01 1.569199999999674233e+01 APR_1
9.944892165853510244e-13 2.499999999999999556e+00 1.488221135169349054e+02 1.919949523656706292e-01 1.545099999999687590e+01 APR_1
9.105501181561330508e-13 2.599999999999999645e+00 1.508206374761106758e+02 1.974095987583370515e-01 1.523699999999699450e+01 APR_1
9.342995173223691547e-13 2.699999999999999289e+00 1.527690750255977150e+02 2.027728060020562439e-01 1.504299999999710202e+01 APR_1
9.510243134547964322e-13 2.799999999999999378e+00 1.546704700445369838e+02 2.080855313521104144e-01 1.486799999999719901e+01 APR_1
9.964515952959686279e-13 2.899999999999999467e+00 1.565275804636619625e+02 2.133487744738741809e-01 1.470899999999728713e+01 APR_1
9.303063639720670785e-13 2.999999999999999556e+00 1.583429139704389570e+02 2.185635497629727364e-01 1.456499999999736694e+01 APR_1
9.024965750147964390e-13 3.099999999999999645e+00 1.601187582243269958e+02 2.237308881599047172e-01 1.443299999999744010e+01 APR_1
9.477884465307411570e-13 3.199999999999999289e+00 1.618572065747649731e+02 2.288518061060848541e-01 1.431199999999750716e+01 APR_1
9.133691669899806884e-13 3.299999999999999378e+00 1.635601800698291299e+02 2.339273142131420846e-01 1.420099999999756868e+01 APR_1
9.408446210129370437e-13 3.399999999999999467e+00 1.652294463859246889e+02 2.389584069135730904e-01 1.409799999999762576e+01 APR_1
9.547137614355821593e-13 3.499999999999999112e+00 1.668666361864867156e+02 2.439460524175749989e-01 1.400299999999767842e+01 APR_1
9.781122719351700773e-13 3.599999999999999201e+00 1.684732573218351206e+02 2.488912016958766404e-01 1.391499999999772719e+01 APR_1
8.579242859557147795e-13 3.699999999999999289e+00 1.700507072067232741e+02 2.537947788953945349e-01 1.383399999999777208e+01 APR_1
8.816843613752735035e-13 3.799999999999999378e+00 1.716002836520353583e+02 2.586576806919902993e-01 1.375799999999781420e+01 APR_1
9.264865376347396073e-13 3.899999999999999467e+00 1.731231943790237722e+02 2.634807858641190492e-01 1.368699999999785355e+01 APR_1
9.443852916253105502e-13 3.999999999999999112e+00 1.746205654057798142e+02 2.682649327487233171e-01 1.362099999999789013e+01 APR_1
8.098768744968052850e-13 4.099999999999999645e+00 1.760934484642860696e+02 2.730109457769587245e-01 1.355999999999792394e+01 APR_1
9.564423138810445080e-13 4.199999999999999289e+00 1.775428275808709486e+02 2.777196141617491176e-01 1.350099999999795664e+01 APR_1
9.613843896272845721e-13 4.299999999999998934e+00 1.789696249319760568e+02 2.823917083520493532e-01 1.344699999999798656e+01 APR_1
9.044278359733331442e-13 4.399999999999998579e+00 1.803747060699379290e+02 2.870279718965095261e-01 1.339599999999801483e+01 APR_1
9.484507153847944764e-13 4.499999999999999112e+00 1.817588845992524398e+02 2.916291251024934472e-01 1.334799999999804143e+01 APR_1
8.723099136907828312e-13 4.599999999999998757e+00 1.831229263719607161e+02 2.961958633483122716e-01 1.330299999999806637e+01 APR_1
8.613212822717988247e-13 4.699999999999999289e+00 1.844675532609257402e+02 3.007288596937384706e-01 1.325999999999809020e+01 APR_1
8.784573556079945148e-13 4.799999999999998934e+00 1.857934465614951307e+02 3.052287639634347349e-01 1.321999999999811237e+01 APR_1
8.249580168207732995e-13 4.899999999999998579e+00 1.871012500650846846e+02 3.096962116387690922e-01 1.318199999999813343e+01 APR_1
7.781363532566116545e-13 4.999999999999999112e+00 1.883915728423372684e+02 3.141318102545176405e-01 1.314599999999815338e+01 APR_1
9.421762288010744185e-13 5.099999999999998757e+00 1.896649917685276137e+02 3.185361521033091003e-01 1.311099999999817278e+01 APR_1
8.485966850488723426e-13 5.199999999999999289e+00 1.909220538196431391e+02 3.229098088807199618e-01 1.307899999999819052e+01 APR_1
9.534949507876468311e-13 5.299999999999998934e+00 1.921632781639509062e+02 3.272533356717650666e-01 1.304799999999820770e+01 APR_1
8.866829844006199004e-13 5.399999999999998579e+00 1.933891580707619653e+02 3.315672697565788529e-01 1.301899999999822377e+01 APR_1
8.814930853635687568e-13 5.499999999999999112e+00 1.946001626554426878e+02 3.358521319877644795e-01 1.299099999999823929e+01 APR_1
7.914033152517048965e-13 5.599999999999998757e+00 1.957967384774267146e+02 3.401084283378187356e-01 1.296499999999825370e+01 APR_1
9.957905920504627988e-13 5.699999999999999289e+00 1.969793110060037691e+02 3.443366474303109492e-01 1.293899999999826811e+01 APR_1
8.224655915890616439e-13 5.799999999999998934e+00 1.981482859669399375e+02 3.485372654570796369e-01 1.291599999999828086e+01 APR_1
8.096741102521179783e-13 5.899999999999998579e+00 1.993040505814971084e+02 3.527107446154908454e-01 1.289299999999829360e+01 APR_1
9.346355781524049177e-13 5.999999999999999112e+00 2.004469747081177502e+02 3.568575295543594539e-01 1.287099999999830580e+01 APR_1
9.338313552371018360e-13 6.099999999999998757e+00 2.015774118959087673e+02 3.609780569171609499e-01 1.284999999999831743e+01 APR_1
9.231467721891909180e-13 6.199999999999998401e+00 2.026957003580662899e+02 3.650727501518456486e-01 1.282999999999832852e+01 APR_1
7.480422198942960117e-13 6.299999999999998934e+00 2.038021638725122671e+02 3.691420167541932806e-01 1.281199999999833850e+01 APR_1
9.750656915723310609e-13 6.399999999999998579e+00 2.048971126162493022e+02 3.731862567011762777e-01 1.279299999999834903e+01 APR_1
8.877729707664127467e-13 6.499999999999998224e+00 2.059808439392671744e+02 3.772058559170736181e-01 1.277599999999835845e+01 APR_1
9.196383007328793321e-13 6.599999999999998757e+00 2.070536430832380290e+02 3.812011988145846408e-01 1.275899999999836787e+01 APR_1
