# P, Pc, E, M, R, EoS
9.990685089566155912e-13 5.000000000000000000e-01 7.548218669522131563e+01 8.990066601940384372e-02 8.866100000005928905e+01 MDI_2
9.952943895360683245e-13 5.999999999999999778e-01 8.019649911628742700e+01 9.680535441746686287e-02 5.287499999996747135e+01 MDI_2
9.928680118987374911e-13 6.999999999999999556e-01 8.443374140277897766e+01 1.045931654250412679e-01 3.908599999999960772e+01 MDI_2
9.964568431785722557e-13 7.999999999999999334e-01 8.830323584394673730e+01 1.127634612802279196e-01 3.198600000001610866e+01 MDI_2
9.832420358173360346e-13 8.999999999999999112e-01 9.187897715452504599e+01 1.210915340784558397e-01 2.772900000001090604e+01 MDI_2
9.754420538547039664e-13 9.999999999999998890e-01 9.521365000000000123e+01 1.294602539735597579e-01 2.492000000000747306e+01 MDI_2
9.734573565121016108e-13 1.099999999999999867e+00 9.834625316437313813e+01 1.378043345706084777e-01 2.294200000000505568e+01 MDI_2
9.764950350106925320e-13 1.199999999999999734e+00 1.013065583247929453e+02 1.460861236947909592e-01 2.148100000000327015e+01 MDI_2
9.786761938432357860e-13 1.299999999999999822e+00 1.041178697766300445e+02 1.542836731682628026e-01 2.036200000000190258e+01 MDI_2
9.702873699657567774e-13 1.399999999999999911e+00 1.067988123126718278e+02 1.623843419150335643e-01 1.948100000000082588e+01 MDI_2
9.534403434641652968e-13 1.499999999999999778e+00 1.093645338483758849e+02 1.703811908529084818e-01 1.877099999999995816e+01 MDI_2
9.686667982246487892e-13 1.599999999999999645e+00 1.118275402654256254e+02 1.782708502982683074e-01 1.818799999999924566e+01 MDI_2
9.940408776009363254e-13 1.699999999999999734e+00 1.141982906955684740e+02 1.860522224873886465e-01 1.770099999999865048e+01 MDI_2
9.908547552637386645e-13 1.799999999999999822e+00 1.164856319081746108e+02 1.937256691454607715e-01 1.728999999999814818e+01 MDI_2
9.160520793381498389e-13 1.899999999999999689e+00 1.186971217327704125e+02 2.012924812061770707e-01 1.693899999999771921e+01 MDI_2
9.579207003454501137e-13 1.999999999999999556e+00 1.208392741602418425e+02 2.087545435421144513e-01 1.663499999999734769e+01 MDI_2
9.333518937275061187e-13 2.099999999999999645e+00 1.229177480236826341e+02 2.161141010533893791e-01 1.637099999999702504e+01 MDI_2
8.954069134318337561e-13 2.199999999999999734e+00 1.249374942922848675e+02 2.233736196156589637e-01 1.613899999999674151e+01 MDI_2
9.905928228800503300e-13 2.299999999999999822e+00 1.269028725097924166e+02 2.305356693525960066e-01 1.593299999999660876e+01 MDI_2
9.686849961986413378e-13 2.399999999999999467e+00 1.288177438911129400e+02 2.376028526875911262e-01 1.575099999999670963e+01 MDI_2
9.832287121477726272e-13 2.499999999999999556e+00 1.306855465264681015e+02 2.445777776775229784e-01 1.558799999999679997e+01 MDI_2
9.140690731787565332e-13 2.599999999999999645e+00 1.325093567046982059e+02 2.514630214705466660e-01 1.544199999999688089e+01 MDI_2
8.734103184648286695e-13 2.699999999999999289e+00 1.342919393492690290e+02 2.582610873243269545e-01 1.530999999999695405e+01 MDI_2
9.411543440512841467e-13 2.799999999999999378e+00 1.360357898287235798e+02 2.649744237029280636e-01 1.518999999999702055e+01 MDI_2
9.337649997470159277e-13 2.899999999999999467e+00 1.377431688700001473e+02 2.716053849601172132e-01 1.508099999999708096e+01 MDI_2
9.872727915314467580e-13 2.999999999999999556e+00 1.394161319094151565e+02 2.781562569752923930e-01 1.498099999999713638e+01 MDI_2
9.916927940993418243e-13 3.099999999999999645e+00 1.410565539221829283e+02 2.846292345881987207e-01 1.488999999999718682e+01 MDI_2
9.490093527261132961e-13 3.199999999999999289e+00 1.426661505494794255e+02 2.910264329268437145e-01 1.480699999999723282e+01 MDI_2
9.699087813545864036e-13 3.299999999999999378e+00 1.442464961728988442e+02 2.973498798613791738e-01 1.472999999999727549e+01 MDI_2
9.046971957415559370e-13 3.399999999999999467e+00 1.457990394559690230e+02 3.036015249194052856e-01 1.465899999999731484e+01 MDI_2
9.590125007487945455e-13 3.499999999999999112e+00 1.473251167713311531e+02 3.097832369395864816e-01 1.459299999999735142e+01 MDI_2
9.988422619259099032e-13 3.599999999999999201e+00 1.488259638530895757e+02 3.158968109101454314e-01 1.453199999999738523e+01 MDI_2
8.754027108897320218e-13 3.699999999999999289e+00 1.503027259514568073e+02 3.219439732053070435e-01 1.447599999999741627e+01 MDI_2
9.446090655554315222e-13 3.799999999999999378e+00 1.517564667172669601e+02 3.279263751609454158e-01 1.442299999999744564e+01 MDI_2
8.733405953797780797e-13 3.899999999999999467e+00 1.531881760043033864e+02 3.338456051652425316e-01 1.437399999999747280e+01 MDI_2
9.250754115177560508e-13 3.999999999999999112e+00 1.545987767454925574e+02 3.397031864070312879e-01 1.432799999999749829e+01 MDI_2
8.759098556369119140e-13 4.099999999999999645e+00 1.559891310331943828e+02 3.455005879633512578e-01 1.428499999999752212e+01 MDI_2
8.923474896183606701e-13 4.199999999999999289e+00 1.573600455127911459e+02 3.512392150051820150e-01 1.424499999999754429e+01 MDI_2
8.649716915713224547e-13 4.299999999999998934e+00 1.587122761815636238e+02 3.569204213415732574e-01 1.420699999999756535e+01 MDI_2
9.786314056479094949e-13 4.399999999999998579e+00 1.600465326706758731e+02 3.625455106709425390e-01 1.417099999999758531e+01 MDI_2
8.721691238212052334e-13 4.499999999999999112e+00 1.613634820763789151e+02 3.681157347507905686e-01 1.413799999999760360e+01 MDI_2
9.929532157876402108e-13 4.599999999999998757e+00 1.626637523968118160e+02 3.736323012230600704e-01 1.410599999999762133e+01 MDI_2
9.762054142523848690e-13 4.699999999999999289e+00 1.639479356226608502e+02 3.790963733843815686e-01 1.407599999999763796e+01 MDI_2
9.123615884001680627e-13 4.799999999999998934e+00 1.652165905231346983e+02 3.845090711725842603e-01 1.404799999999765348e+01 MDI_2
7.880116897076244477e-13 4.899999999999998579e+00 1.664702451629915458e+02 3.898714767284665039e-01 1.402199999999766789e+01 MDI_2
9.734691652537066878e-13 4.999999999999999112e+00 1.677093991815214906e+02 3.951846350736826219e-01 1.399599999999768229e+01 MDI_2
9.498296082191541147e-13 5.099999999999998757e+00 1.689345258602913589e+02 4.004495474054660664e-01 1.397199999999769560e+01 MDI_2
8.160571959126180247e-13 5.199999999999999289e+00 1.701460740029772012e+02 4.056671862208917068e-01 1.394999999999770779e+01 MDI_2
9.716071613829783247e-13 5.299999999999998934e+00 1.713444696476341562e+02 4.108384964552820873e-01 1.392799999999771998e+01 MDI_2
7.458369909119833667e-13 5.399999999999998579e+00 1.725301176292117873e+02 4.159643748939599317e-01 1.390799999999773107e+01 MDI_2
9.092459766767660733e-13 5.499999999999999112e+00 1.737034030079335025e+02 4.210457107879695404e-01 1.388799999999774215e+01 MDI_2
7.949915501998337036e-13 5.599999999999998757e+00 1.748646923772786295e+02 4.260833516227305884e-01 1.386999999999775213e+01 MDI_2
8.114578709083212549e-13 5.699999999999999289e+00 1.760143350636781747e+02 4.310781141104845227e-01 1.385199999999776210e+01 MDI_2
9.337272899194983945e-13 5.799999999999998934e+00 1.771526642286265769e+02 4.360307976049772605e-01 1.383499999999777152e+01 MDI_2
8.870158304362102900e-13 5.899999999999998579e+00 1.782799978826886331e+02 4.409421733891936146e-01 1.381899999999778039e+01 MDI_2
8.016870869916267558e-13 5.999999999999999112e+00 1.793966398198149363e+02 4.458129886984249501e-01 1.380399999999778871e+01 MDI_2
8.217454892262377147e-13 6.099999999999998757e+00 1.805028804794499422e+02 4.506439675585813820e-01 1.378899999999779702e+01 MDI_2
7.872342507397893632e-13 6.199999999999998401e+00 1.815989977431023021e+02 4.554358154261901603e-01 1.377499999999780478e+01 MDI_2
9.938380464200550226e-13 6.299999999999998934e+00 1.826852576713342842e+02 4.601892138945571364e-01 1.376099999999781254e+01 MDI_2
9.894299221852171766e-13 6.399999999999998579e+00 1.837619151864998628e+02 4.649048246467767931e-01 1.374799999999781974e+01 MDI_2
9.018158026806793979e-13 6.499999999999998224e+00 1.848292147060086563e+02 4.695832900673704291e-01 1.373599999999782639e+01 MDI_2
9.058318696251076681e-13 6.599999999999998757e+00 1.858873907304049453e+02 4.742252361027139984e-01 1.372399999999783304e+01 MDI_2
8.189385224196895447e-13 6.699999999999998401e+00 1.869366683901210422e+02 4.788312705693683058e-01 1.371299999999783914e+01 MDI_2
8.122467898141361739e-13 6.799999999999998934e+00 1.879772639543809021e+02 4.834019828201530089e-01 1.370199999999784524e+01 MDI_2
7.104327832505123029e-13 6.899999999999998579e+00 1.890093853053911914e+02 4.879379469750765863e-01 1.369199999999785078e+01 MDI_2
6.779337822212875335e-13 6.999999999999998224e+00 1.900332323806564148e+02 4.924397215021060759e-01 1.368199999999785632e+01 MDI_2
8.520667529766909864e-13 7.099999999999998757e+00 1.910489975859838978e+02 4.969078498537333188e-01 1.367199999999786186e+01 MDI_2
9.603370144529461809e-13 7.199999999999998401e+00 1.920568661815061375e+02 5.013428609880726805e-01 1.366199999999786741e+01 MDI_2
7.583081647533211481e-13 7.299999999999998934e+00 1.930570166428335881e+02 5.057452703001132921e-01 1.365399999999787184e+01 MDI_2
8.026692968798003636e-13 7.399999999999998579e+00 1.940496209992573142e+02 5.101155791254766703e-01 1.364499999999787683e+01 MDI_2
7.249038066655897438e-13 7.499999999999998224e+00 1.950348451507512095e+02 5.144542772085330951e-01 1.363699999999788126e+01 MDI_2
7.010589217346395339e-13 7.599999999999998757e+00 1.960128491653661911e+02 5.187618390259907120e-01 1.362899999999788569e+01 MDI_2
7.264942399324030379e-13 7.699999999999998401e+00 1.969837875584719029e+02 5.230387305913511975e-01 1.362099999999789013e+01 MDI_2
9.734065538752676777e-13 7.799999999999998046e+00 1.979478095551744445e+02 5.272854090226752888e-01 1.361299999999789456e+01 MDI_2
9.087016926765959552e-13 7.899999999999998579e+00 1.989050593371266302e+02 5.315023100078415386e-01 1.360599999999789844e+01 MDI_2
8.964320316368490165e-13 7.999999999999998224e+00 1.998556762748441429e+02 5.356898675021032341e-01 1.359899999999790232e+01 MDI_2
9.361445233487377482e-13 8.099999999999997868e+00 2.007997951465495703e+02 5.398484992664676074e-01 1.359199999999790620e+01 MDI_2
8.121775824424596087e-13 8.199999999999999289e+00 2.017375463444823822e+02 5.439786227656323581e-01 1.358599999999790953e+01 MDI_2
7.377942939957724896e-13 8.299999999999997158e+00 2.026690560695356282e+02 5.480806323892799536e-01 1.357999999999791285e+01 MDI_2
7.034082640148747998e-13 8.399999999999998579e+00 2.035944465150139138e+02 5.521549218850091423e-01 1.357399999999791618e+01 MDI_2
7.054631187341762207e-13 8.499999999999998224e+00 2.045138360402412445e+02 5.562018745248665796e-01 1.356799999999791950e+01 MDI_2
7.449401164911552592e-13 8.599999999999997868e+00 2.054273393346937837e+02 5.602218640168804553e-01 1.356199999999792283e+01 MDI_2
6.284809601508368620e-13 8.699999999999997513e+00 2.063350675732774278e+02 5.642152605353346617e-01 1.355699999999792560e+01 MDI_2
9.085986640740371824e-13 8.799999999999998934e+00 2.072371285633248874e+02 5.681824144225248174e-01 1.355099999999792892e+01 MDI_2
8.477450279072861589e-13 8.899999999999998579e+00 2.081336268838427372e+02 5.721236785734019614e-01 1.354599999999793170e+01 MDI_2
8.229356553541548562e-13 8.999999999999998224e+00 2.090246640174993900e+02 5.760393945656931969e-01 1.354099999999793447e+01 MDI_2
8.290650274364171523e-13 9.099999999999997868e+00 2.099103384758089703e+02 5.799298963204500001e-01 1.353599999999793724e+01 MDI_2
8.690775168714739901e-13 9.199999999999997513e+00 2.107907459179326395e+02 5.837955112448041106e-01 1.353099999999794001e+01 MDI_2
7.210308281460520917e-13 9.299999999999997158e+00 2.116659792634886799e+02 5.876365590767449465e-01 1.352699999999794223e+01 MDI_2
8.170304389972835984e-13 9.399999999999998579e+00 2.125361287997346551e+02 5.914533545588781527e-01 1.352199999999794500e+01 MDI_2
