# P, Pc, E, M, R, EoS
8.496516701438117253e-13 8.899999999999998579e+00 2.246997422218059342e+02 5.239135259571957581e-01 1.559299999999679720e+01 PS
9.247325850448218362e-13 8.999999999999998224e+00 2.251234716168425791e+02 5.269680827242189114e-01 1.555599999999681771e+01 PS
8.084359325887730507e-13 9.099999999999997868e+00 2.255379806367104436e+02 5.300420130460323787e-01 1.552099999999683710e+01 PS
8.030563257532466118e-13 9.199999999999997513e+00 2.259436320089434957e+02 5.331348998099356695e-01 1.548599999999685650e+01 PS
7.566534441187811699e-13 9.299999999999997158e+00 2.263407741857811573e+02 5.362463168659036272e-01 1.545199999999687535e+01 PS
9.479934333040692397e-13 9.399999999999998579e+00 2.267297419059710819e+02 5.393758480573547232e-01 1.541799999999689419e+01 PS
9.635420576045215084e-13 9.499999999999998224e+00 2.271108567344796256e+02 5.425230836928520706e-01 1.538499999999691248e+01 PS
9.257165241127179617e-13 9.599999999999997868e+00 2.274844275809405758e+02 5.456876133116350669e-01 1.535299999999693021e+01 PS
8.337015663352446853e-13 9.699999999999997513e+00 2.278507511977213369e+02 5.488690286240337501e-01 1.532199999999694739e+01 PS
8.517269285127477689e-13 9.799999999999997158e+00 2.282101126583686721e+02 5.520669250558496444e-01 1.529099999999696458e+01 PS
8.096865236228486567e-13 9.899999999999998579e+00 2.285627858172435083e+02 5.552809044382049919e-01 1.526099999999698120e+01 PS
8.526224150362142506e-13 5.000000000000000000e+00 1.947703386827655834e+02 4.243707575125229003e-01 1.774099999999869937e+01 PS
8.107573114901487208e-13 6.000000000000000000e+00 2.060867680197859499e+02 4.456826426993918955e-01 1.703299999999783410e+01 PS
8.720091752240072807e-13 7.000000000000000000e+00 2.142878018056822498e+02 4.701303212997933745e-01 1.644299999999711304e+01 PS
8.078522034818381588e-13 8.000000000000000000e+00 2.204035489451513570e+02 4.973650502888951608e-01 1.595599999999659602e+01 PS
9.247325850448218362e-13 9.000000000000000000e+00 2.251234716168425791e+02 5.269680827242189114e-01 1.555599999999681771e+01 PS
7.140211108952784539e-13 1.000000000000000000e+01 2.289090337510472750e+02 5.585105686942098968e-01 1.523199999999699727e+01 PS
8.471164020212835513e-13 1.100000000000000000e+01 2.320690977783716278e+02 5.915856783855627521e-01 1.496899999999714304e+01 PS
9.567670277181595890e-13 1.200000000000000000e+01 2.348103884249799762e+02 6.258247764885354059e-01 1.475699999999726053e+01 PS
9.130875692872559383e-13 1.300000000000000000e+01 2.372712686336253398e+02 6.609038908203852536e-01 1.458799999999735419e+01 PS
9.776767162032113172e-13 1.400000000000000000e+01 2.395443461241782757e+02 6.965444589332485670e-01 1.445299999999742901e+01 PS
6.226795782525090909e-13 1.500000000000000000e+01 2.416916041898703327e+02 7.325108511463248595e-01 1.434699999999748776e+01 PS
9.341995155874907326e-13 1.600000000000000000e+01 2.437545288900015237e+02 7.686063036406924898e-01 1.426199999999753487e+01 PS
6.649145337429046978e-13 1.700000000000000000e+01 2.457608872809391016e+02 8.046682206725948028e-01 1.419699999999757090e+01 PS
9.750536703475881480e-13 1.800000000000000000e+01 2.477292641536655822e+02 8.405634941611417332e-01 1.414599999999759916e+01 PS
8.239738604201490434e-13 1.900000000000000000e+01 2.496720985174391387e+02 8.761840865389797228e-01 1.410799999999762022e+01 PS
9.819903459938083278e-13 2.000000000000000000e+01 2.515977159485588288e+02 9.114431041578726633e-01 1.407999999999763574e+01 PS
9.092473517080725029e-13 2.100000000000000000e+01 2.535116888616475137e+02 9.462713100954384116e-01 1.405999999999764682e+01 PS
6.946821928103972206e-13 2.200000000000000000e+01 2.554177469527804760e+02 9.806141849782897824e-01 1.404699999999765403e+01 PS
3.572034862961287141e-13 2.300000000000000000e+01 2.573183865681388056e+02 1.014429388972852175e+00 1.403999999999765791e+01 PS
