# P, Pc, E, M, R, EoS
9.911215677192069595e-13 2.699999999999999289e+00 1.509811969754447318e+02 2.029476018302090179e-01 1.491199999999717463e+01 HHJ_2
9.868020977574459049e-13 2.799999999999999378e+00 1.527830521065384062e+02 2.085008344721164530e-01 1.473999999999726995e+01 HHJ_2
9.001066187768949371e-13 2.899999999999999467e+00 1.545437533027575228e+02 2.140059131209264554e-01 1.458499999999735586e+01 HHJ_2
9.830984412593682953e-13 2.999999999999999556e+00 1.562656648917451321e+02 2.194635313421236245e-01 1.444299999999743456e+01 HHJ_2
9.108820879478062664e-13 3.099999999999999645e+00 1.579509418120790656e+02 2.248744138039968921e-01 1.431499999999750550e+01 HHJ_2
8.542022323922921093e-13 3.199999999999999289e+00 1.596015542535302529e+02 2.302393204190546494e-01 1.419799999999757034e+01 HHJ_2
8.675532801297732373e-13 3.299999999999999378e+00 1.612193087246848222e+02 2.355590262687597969e-01 1.408999999999763020e+01 HHJ_2
8.664207066973758295e-13 3.399999999999999467e+00 1.628058661576712893e+02 2.408343219493562781e-01 1.399099999999768507e+01 HHJ_2
8.554904321011113651e-13 3.499999999999999112e+00 1.643627575409260544e+02 2.460659821515639722e-01 1.389999999999773550e+01 HHJ_2
8.477692387140619269e-13 3.599999999999999201e+00 1.658913974779777902e+02 2.512547920774819143e-01 1.381599999999778206e+01 HHJ_2
8.700983348983560689e-13 3.699999999999999289e+00 1.673930959969586070e+02 2.564015216420775234e-01 1.373799999999782528e+01 HHJ_2
9.646816716809852931e-13 3.799999999999999378e+00 1.688690688773683348e+02 2.615069405339365827e-01 1.366499999999786574e+01 HHJ_2
9.809077886711330981e-13 3.899999999999999467e+00 1.703204467141108864e+02 2.665717894559413992e-01 1.359799999999790288e+01 HHJ_2
8.759237380980281613e-13 3.999999999999999112e+00 1.717482829014049628e+02 2.715968070008003554e-01 1.353599999999793724e+01 HHJ_2
8.850618150882965067e-13 4.099999999999999645e+00 1.731535606888900531e+02 2.765827093764141043e-01 1.347799999999796938e+01 HHJ_2
9.926664816503609078e-13 4.199999999999999289e+00 1.745371994375996110e+02 2.815302004756482512e-01 1.342299999999799986e+01 HHJ_2
8.461776004226561362e-13 4.299999999999998934e+00 1.759000601833018891e+02 2.864399667765351043e-01 1.337299999999802758e+01 HHJ_2
8.371644390443630422e-13 4.399999999999998579e+00 1.772429505981175168e+02 2.913126769437092700e-01 1.332499999999805418e+01 HHJ_2
9.227474650004733184e-13 4.499999999999999112e+00 1.785666294276065287e+02 2.961489832003941780e-01 1.327999999999807912e+01 HHJ_2
9.861388171685336637e-13 4.599999999999998757e+00 1.798718104691316171e+02 3.009495207167683373e-01 1.323799999999810240e+01 HHJ_2
8.869059725585872296e-13 4.699999999999999289e+00 1.811591661478038873e+02 3.057149047568820666e-01 1.319899999999812401e+01 HHJ_2
8.295091685260540680e-13 4.799999999999998934e+00 1.824293307383619833e+02 3.104457423598163124e-01 1.316199999999814452e+01 HHJ_2
8.935750316125822568e-13 4.899999999999998579e+00 1.836829032746466623e+02 3.151426167677652823e-01 1.312699999999816391e+01 HHJ_2
8.507067080320554490e-13 4.999999999999999112e+00 1.849204501826829983e+02 3.198060974788544120e-01 1.309399999999818220e+01 HHJ_2
7.904835014625093252e-13 5.099999999999998757e+00 1.861425076685994213e+02 3.244367396161691453e-01 1.306299999999819939e+01 HHJ_2
