# P, Pc, E, M, R, EoS
8.948059152222202597e-13 2.199999999999999734e+00 1.194927010622453025e+02 2.372904151790302674e-01 1.605199999999663518e+01 MDI_3
9.124613927800585638e-13 2.299999999999999822e+00 1.213116064383024195e+02 2.452546964621400705e-01 1.586899999999664423e+01 MDI_3
9.496624233971119877e-13 2.399999999999999467e+00 1.230859630553452604e+02 2.531132394300131816e-01 1.570699999999673402e+01 MDI_3
9.912689978446039105e-13 2.499999999999999556e+00 1.248187857061312940e+02 2.608685776245908139e-01 1.556299999999681383e+01 MDI_3
9.143951768316103823e-13 2.599999999999999645e+00 1.265127718164879269e+02 2.685232377992246566e-01 1.543499999999688477e+01 MDI_3
8.549183061089709441e-13 2.699999999999999289e+00 1.281703457687945047e+02 2.760797586784461966e-01 1.531999999999694850e+01 MDI_3
9.853368706521213367e-13 2.799999999999999378e+00 1.297936956281704681e+02 2.835406151361585803e-01 1.521499999999700670e+01 MDI_3
9.537867049713534938e-13 2.899999999999999467e+00 1.313848037972756231e+02 2.909082480106716662e-01 1.512099999999705879e+01 MDI_3
9.921074467958759545e-13 2.999999999999999556e+00 1.329454727773419336e+02 2.981850365473121545e-01 1.503499999999710646e+01 MDI_3
8.235753619977684451e-13 3.099999999999999645e+00 1.344773469531695298e+02 3.053732810082913085e-01 1.495799999999714913e+01 MDI_3
8.992732763454861445e-13 3.199999999999999289e+00 1.359819311237870636e+02 3.124752212792189510e-01 1.488599999999718904e+01 MDI_3
8.826669244203442558e-13 3.299999999999999378e+00 1.374606063511057528e+02 3.194930209057045833e-01 1.482099999999722506e+01 MDI_3
8.174158745072100847e-13 3.399999999999999467e+00 1.389146435840157210e+02 3.264287707956129436e-01 1.476099999999725831e+01 MDI_3
8.126115080851968909e-13 3.499999999999999112e+00 1.403452154262357681e+02 3.332844898717480797e-01 1.470599999999728880e+01 MDI_3
9.533750687063600669e-13 3.599999999999999201e+00 1.417534063465039651e+02 3.400621265732740039e-01 1.465399999999731762e+01 MDI_3
9.733321681870632979e-13 3.699999999999999289e+00 1.431402215747314131e+02 3.467635596521302932e-01 1.460699999999734366e+01 MDI_3
8.375852986388757979e-13 3.799999999999999378e+00 1.445065948841050556e+02 3.533906005976911180e-01 1.456399999999736750e+01 MDI_3
8.312323785253450594e-13 3.899999999999999467e+00 1.458533954242408583e+02 3.599449975268343427e-01 1.452299999999739022e+01 MDI_3
9.129746893238072108e-13 3.999999999999999112e+00 1.471814337424267762e+02 3.664284334798065812e-01 1.448499999999741128e+01 MDI_3
8.457955213391126059e-13 4.099999999999999645e+00 1.484914671072815509e+02 3.728425315832577525e-01 1.444999999999743068e+01 MDI_3
9.264913267177538156e-13 4.199999999999999289e+00 1.497842042306683368e+02 3.791888585139821521e-01 1.441699999999744897e+01 MDI_3
7.982385085562272940e-13 4.299999999999998934e+00 1.510603094685711199e+02 3.854689257939546976e-01 1.438699999999746559e+01 MDI_3
7.915468965478737166e-13 4.399999999999998579e+00 1.523204065691959386e+02 3.916841905380004096e-01 1.435799999999748167e+01 MDI_3
8.716620833674650700e-13 4.499999999999999112e+00 1.535650820262705167e+02 3.978360616216380929e-01 1.433099999999749663e+01 MDI_3
8.029398787510035021e-13 4.599999999999998757e+00 1.547948880869720369e+02 4.039258970924506920e-01 1.430599999999751049e+01 MDI_3
9.210421855301452350e-13 4.699999999999999289e+00 1.560103454567855010e+02 4.099550141438343953e-01 1.428199999999752379e+01 MDI_3
8.427123332604039982e-13 4.799999999999998934e+00 1.572119457376252853e+02 4.159246707298288603e-01 1.425999999999753598e+01 MDI_3
8.130660469148984671e-13 4.899999999999998579e+00 1.584001536305321451e+02 4.218361027512342321e-01 1.423899999999754762e+01 MDI_3
8.116745351462679753e-13 4.999999999999999112e+00 1.595754089300184262e+02 4.276904828811065040e-01 1.421899999999755870e+01 MDI_3
9.538154257853547312e-13 5.099999999999998757e+00 1.607381283335425053e+02 4.334889693097042640e-01 1.419999999999756923e+01 MDI_3
8.306955979871459161e-13 5.199999999999999289e+00 1.618887070865395117e+02 4.392326701349874019e-01 1.418299999999757866e+01 MDI_3
8.530530887227097152e-13 5.299999999999998934e+00 1.630275204808286560e+02 4.449226515967728557e-01 1.416599999999758808e+01 MDI_3
9.976142624244368330e-13 5.399999999999998579e+00 1.641549252219872983e+02 4.505599585619466940e-01 1.414999999999759694e+01 MDI_3
9.836002209004935889e-13 5.499999999999999112e+00 1.652712606793660939e+02 4.561455965885105046e-01 1.413499999999760526e+01 MDI_3
9.337688431923905087e-13 5.599999999999998757e+00 1.663768500307699583e+02 4.616805425086671910e-01 1.412099999999761302e+01 MDI_3
8.408336676753472442e-13 5.699999999999999289e+00 1.674720013124054105e+02 4.671657413628605982e-01 1.410799999999762022e+01 MDI_3
8.613940760119196264e-13 5.799999999999998934e+00 1.685570083834600723e+02 4.726021135980380539e-01 1.409499999999762743e+01 MDI_3
9.650800280085824870e-13 5.899999999999998579e+00 1.696321518136092266e+02 4.779905475398825154e-01 1.408299999999763408e+01 MDI_3
7.236200687635019056e-13 5.999999999999999112e+00 1.706976997008111141e+02 4.833319070092176872e-01 1.407199999999764017e+01 MDI_3
8.451828655720450702e-13 6.099999999999998757e+00 1.717539084259389597e+02 4.886270315383455798e-01 1.406099999999764627e+01 MDI_3
9.244585628129814947e-13 6.199999999999998401e+00 1.728010233500850461e+02 4.938767350742344631e-01 1.404999999999765237e+01 MDI_3
7.485027876213955050e-13 6.299999999999998934e+00 1.738392794597472175e+02 4.990818104341470662e-01 1.404099999999765735e+01 MDI_3
8.194598405750890940e-13 6.399999999999998579e+00 1.748689019645606777e+02 5.042430252642503552e-01 1.403099999999766290e+01 MDI_3
9.467211718592072307e-13 6.499999999999998224e+00 1.758901068517531030e+02 5.093611277370341250e-01 1.402199999999766789e+01 MDI_3
6.764121813503397645e-13 6.599999999999998757e+00 1.769031014010751335e+02 5.144368440963364986e-01 1.401399999999767232e+01 MDI_3
9.400659021117061829e-13 6.699999999999998401e+00 1.779080846635814339e+02 5.194708824756056886e-01 1.400499999999767731e+01 MDI_3
9.507782995164395660e-13 6.799999999999998934e+00 1.789052479073025381e+02 5.244639306793548172e-01 1.399699999999768174e+01 MDI_3
8.343561714588703972e-13 6.899999999999998579e+00 1.798947750325509674e+02 5.294166583329654729e-01 1.398999999999768562e+01 MDI_3
7.812008118735036912e-13 6.999999999999998224e+00 1.808768429593426390e+02 5.343297165617051370e-01 1.398299999999768950e+01 MDI_3
7.866060958124209570e-13 7.099999999999998757e+00 1.818516219891770334e+02 5.392037417010143718e-01 1.397599999999769338e+01 MDI_3
6.667810568561324630e-13 7.199999999999998401e+00 1.828192761432121358e+02 5.440393561112788490e-01 1.396999999999769670e+01 MDI_3
9.310896358348468716e-13 7.299999999999998934e+00 1.837799634786812817e+02 5.488371563369088824e-01 1.396299999999770058e+01 MDI_3
9.040388611422239218e-13 7.399999999999998579e+00 1.847338363852312000e+02 5.535977341205473579e-01 1.395699999999770391e+01 MDI_3
9.259203882972831409e-13 7.499999999999998224e+00 1.856810418627105719e+02 5.583216585909890339e-01 1.395099999999770723e+01 MDI_3
7.939602721021669364e-13 7.599999999999998757e+00 1.866217217818025063e+02 5.630094947166358610e-01 1.394599999999771001e+01 MDI_3
9.068619487710620957e-13 7.699999999999998401e+00 1.875560131287727472e+02 5.676617811995532392e-01 1.393999999999771333e+01 MDI_3
8.614650139247511668e-13 7.799999999999998046e+00 1.884840482354963740e+02 5.722790520900474798e-01 1.393499999999771610e+01 MDI_3
