# P, Pc, E, M, R, EoS
9.999815325703087186e-13 5.000000000000000000e-01 8.676459072409730311e+01 8.288313888662683648e-02 5.882779999930010035e+02 HHJ_1
9.999375589351658772e-13 5.999999999999999778e-01 9.204770697538091895e+01 8.319841674558421662e-02 1.229510000002230186e+02 HHJ_1
9.981962719675861647e-13 6.999999999999999556e-01 9.677612313787142284e+01 8.735954717843094630e-02 6.733999999995748453e+01 HHJ_1
9.993346161469730623e-13 7.999999999999999334e-01 1.010776514102381896e+02 9.250440084576218303e-02 4.726799999998053892e+01 HHJ_1
9.953836568414533593e-13 8.999999999999999112e-01 1.050387201282464389e+02 9.813863371847202088e-02 3.725000000000388667e+01 HHJ_1
9.928531371034193513e-13 9.999999999999998890e-01 1.087208100000000002e+02 1.040426247432693768e-01 3.135600000001533871e+01 HHJ_1
9.884678766616183545e-13 1.099999999999999867e+00 1.121693898191858239e+02 1.100957876180536227e-01 2.752100000001065183e+01 HHJ_1
9.885773915640757963e-13 1.199999999999999734e+00 1.154191398453986750e+02 1.162257945510815349e-01 2.484800000000738507e+01 HHJ_1
9.841563651507667537e-13 1.299999999999999822e+00 1.184971832587202556e+02 1.223870868782162558e-01 2.289000000000499213e+01 HHJ_1
9.856478946703593395e-13 1.399999999999999911e+00 1.214251786585680861e+02 1.285500500316883177e-01 2.140100000000317237e+01 HHJ_1
9.724318706845864248e-13 1.499999999999999778e+00 1.242207269278024739e+02 1.346950357231548601e-01 2.023500000000174737e+01 HHJ_1
9.609485698614296803e-13 1.599999999999999645e+00 1.268983473959984138e+02 1.408088501369505474e-01 1.929900000000060345e+01 HHJ_1
9.844094722317127948e-13 1.699999999999999734e+00 1.294701735655266646e+02 1.468825822609818588e-01 1.853299999999966730e+01 HHJ_1
9.543103538250994392e-13 1.799999999999999822e+00 1.319464605578037606e+02 1.529102461105596167e-01 1.789699999999889002e+01 HHJ_1
9.382589012126359271e-13 1.899999999999999689e+00 1.343359627579130517e+02 1.588878718165002424e-01 1.736099999999823496e+01 HHJ_1
9.614224106744698789e-13 1.999999999999999556e+00 1.366462198770595933e+02 1.648129119872686066e-01 1.690299999999767522e+01 HHJ_1
9.982439202128071533e-13 2.099999999999999645e+00 1.388837770666131917e+02 1.706838273316283183e-01 1.650799999999719248e+01 HHJ_1
9.118883379184866606e-13 2.199999999999999734e+00 1.410543566738845129e+02 1.764998027208722065e-01 1.616599999999677451e+01 HHJ_1
