# P, Pc, E, M, R, EoS
9.998180842304189664e-13 5.000000000000000000e-01 7.954000436305170751e+01 8.681717453537195206e-02 1.189350000002038428e+02 BL_2
9.978852148596312128e-13 5.999999999999999778e-01 8.492623714968441107e+01 9.199265111567256348e-02 6.442799999994358018e+01 BL_2
9.956964331775627125e-13 6.999999999999999556e-01 8.977086080257797107e+01 9.817287348695853677e-02 4.548199999998470133e+01 BL_2
9.993201822485462736e-13 7.999999999999999334e-01 9.419624970548657927e+01 1.047805781994850804e-01 3.615400000000644098e+01 BL_2
9.864785153531700982e-13 8.999999999999999112e-01 9.828560944325583648e+01 1.115774542698362015e-01 3.069800000001453455e+01 BL_2
9.820488551335464785e-13 9.999999999999998890e-01 1.020984100000000012e+02 1.184421813466274148e-01 2.715300000001020209e+01 BL_2
9.731267032642376905e-13 1.099999999999999867e+00 1.056788180591138371e+02 1.253075843840598669e-01 2.468200000000718219e+01 BL_2
9.666628217258202747e-13 1.199999999999999734e+00 1.090606476306123653e+02 1.321348763704142393e-01 2.286900000000496647e+01 BL_2
9.640042611923564651e-13 1.299999999999999822e+00 1.122704346600683323e+02 1.389012866595386586e-01 2.148700000000327748e+01 BL_2
9.703323208322414924e-13 1.399999999999999911e+00 1.153294349323564205e+02 1.455934934427434713e-01 2.040100000000195024e+01 BL_2
9.497865298759172447e-13 1.499999999999999778e+00 1.182549716182394093e+02 1.522039611689935401e-01 1.952800000000088332e+01 BL_2
9.650031211524873330e-13 1.599999999999999645e+00 1.210613730174077745e+02 1.587287728871608350e-01 1.881100000000000705e+01 BL_2
9.453993609393081198e-13 1.699999999999999734e+00 1.237606427117625572e+02 1.651663113629841528e-01 1.821299999999927621e+01 BL_2
9.764090706890530673e-13 1.799999999999999822e+00 1.263629495908799072e+02 1.715164376369469612e-01 1.770699999999865781e+01 BL_2
9.715589713649709198e-13 1.899999999999999689e+00 1.288769933909880478e+02 1.777799606883665728e-01 1.727399999999812863e+01 BL_2
9.376996955632497343e-13 1.999999999999999556e+00 1.313102821999911214e+02 1.839582978563469862e-01 1.689999999999767155e+01 BL_2
9.596335669923155776e-13 2.099999999999999645e+00 1.336693464321384965e+02 1.900532421586442755e-01 1.657299999999727191e+01 BL_2
9.281843066282098074e-13 2.199999999999999734e+00 1.359599061225100343e+02 1.960668180357597601e-01 1.628599999999692116e+01 BL_2
9.596113773126402541e-13 2.299999999999999822e+00 1.381870033654299732e+02 2.020011550584097648e-01 1.603099999999660952e+01 BL_2
9.397433407700801307e-13 2.399999999999999467e+00 1.403551083459122708e+02 2.078584527886124245e-01 1.580399999999668026e+01 BL_2
9.042254430656795684e-13 2.499999999999999556e+00 1.424682051011229476e+02 2.136409130413554902e-01 1.560099999999679277e+01 BL_2
8.894147695218439967e-13 2.599999999999999645e+00 1.445298615360046313e+02 2.193507068024203310e-01 1.541799999999689419e+01 BL_2
9.073411610710030965e-13 2.699999999999999289e+00 1.465432870735516815e+02 2.249899641073355161e-01 1.525199999999698619e+01 BL_2
8.872225536349614820e-13 2.799999999999999378e+00 1.485113804970464173e+02 2.305607498604469729e-01 1.510099999999706988e+01 BL_2
9.517238187218339458e-13 2.899999999999999467e+00 1.504367699408878423e+02 2.360650727401753524e-01 1.496299999999714636e+01 BL_2
9.322153242954323206e-13 2.999999999999999556e+00 1.523218465427726471e+02 2.415048607753286503e-01 1.483699999999721619e+01 BL_2
8.603457610629419509e-13 3.099999999999999645e+00 1.541687929381565141e+02 2.468819688319831840e-01 1.472199999999727993e+01 BL_2
8.773638545669947323e-13 3.199999999999999289e+00 1.559796075271696623e+02 2.521981853908605298e-01 1.461499999999733923e+01 BL_2
9.855184122867262593e-13 3.299999999999999378e+00 1.577561252527752060e+02 2.574552150511975057e-01 1.451599999999739410e+01 BL_2
8.862902326898060890e-13 3.399999999999999467e+00 1.595000354815225592e+02 2.626546993160883692e-01 1.442499999999744453e+01 BL_2
9.120266471617350965e-13 3.499999999999999112e+00 1.612128974636782459e+02 2.677982081497690126e-01 1.433999999999749164e+01 BL_2
9.324147710580798706e-13 3.599999999999999201e+00 1.628961537597663209e+02 2.728872450322762377e-01 1.426099999999753543e+01 BL_2
9.881784804972404674e-13 3.699999999999999289e+00 1.645511419497016732e+02 2.779232545496277962e-01 1.418699999999757644e+01 BL_2
8.472939884758469377e-13 3.799999999999999378e+00 1.661791048843741123e+02 2.829076116430803145e-01 1.411899999999761413e+01 BL_2
9.277270978414775110e-13 3.899999999999999467e+00 1.677811996944616624e+02 2.878416405570391468e-01 1.405399999999765015e+01 BL_2
8.260112090402623847e-13 3.999999999999999112e+00 1.693585057349357896e+02 2.927266055460664984e-01 1.399399999999768340e+01 BL_2
8.765445047454921508e-13 4.099999999999999645e+00 1.709120316143030323e+02 2.975637233960374273e-01 1.393699999999771499e+01 BL_2
9.775767724830999443e-13 4.199999999999999289e+00 1.724427214336459429e+02 3.023541585762531403e-01 1.388299999999774492e+01 BL_2
8.819120908814568078e-13 4.299999999999998934e+00 1.739514603408860296e+02 3.070990301383715315e-01 1.383299999999777263e+01 BL_2
