# P, Pc, E, M, R, EoS
9.997051858870824593e-13 5.000000000000000000e-01 7.862139774235501477e+01 8.673963979004985225e-02 1.180960000001998367e+02 MDI_1
9.997208653217931702e-13 5.999999999999999778e-01 8.354391576281977905e+01 9.231026844917913921e-02 6.279999999994434035e+01 MDI_1
9.950912618994909834e-13 6.999999999999999556e-01 8.796347186538167762e+01 9.901568482463669885e-02 4.408099999998796648e+01 MDI_1
9.940585412203244444e-13 7.999999999999999334e-01 9.199534668916490432e+01 1.062239456769185769e-01 3.499000000000915378e+01 MDI_1
9.992193325402031141e-13 8.999999999999999112e-01 9.571758194414334753e+01 1.136696296562908770e-01 2.972000000001333930e+01 MDI_1
9.807005361026659236e-13 9.999999999999998890e-01 9.918574999999999875e+01 1.212152505927679008e-01 2.632200000000918649e+01 MDI_1
9.823804523711547845e-13 1.099999999999999867e+00 1.024409897897551502e+02 1.287832415891723425e-01 2.396600000000630715e+01 MDI_1
9.901001418624936723e-13 1.199999999999999734e+00 1.055147076075446648e+02 1.363278080264348768e-01 2.224700000000420630e+01 MDI_1
9.882561189553296669e-13 1.299999999999999822e+00 1.084314872379122079e+02 1.438212435512304377e-01 2.094300000000261264e+01 MDI_1
9.549930317041036638e-13 1.399999999999999911e+00 1.112109755884609967e+02 1.512466600073352763e-01 1.992400000000136728e+01 MDI_1
9.486774853424650872e-13 1.499999999999999778e+00 1.138691512396094225e+02 1.585938583617045872e-01 1.910700000000036880e+01 MDI_1
9.655809275693814516e-13 1.599999999999999645e+00 1.164192051468517803e+02 1.658569024367013423e-01 1.843899999999955241e+01 MDI_1
9.773751500829529765e-13 1.699999999999999734e+00 1.188721686782125744e+02 1.730326138174741735e-01 1.788399999999887413e+01 MDI_1
9.726221169155421694e-13 1.799999999999999822e+00 1.212373719338831819e+02 1.801196315691808159e-01 1.741699999999830339e+01 MDI_1
9.235271129167337875e-13 1.899999999999999689e+00 1.235227850054679948e+02 1.871178002507505600e-01 1.701899999999781699e+01 MDI_1
9.072831173622852016e-13 1.999999999999999556e+00 1.257352766048984449e+02 1.940277727625048243e-01 1.667599999999739779e+01 MDI_1
9.132751907663174993e-13 2.099999999999999645e+00 1.278808131648386990e+02 2.008507186250237664e-01 1.637699999999703238e+01 MDI_1
9.956510099571717553e-13 2.199999999999999734e+00 1.299646142696765025e+02 2.075881607802530504e-01 1.611499999999671218e+01 MDI_1
9.250062793507094924e-13 2.299999999999999822e+00 1.319912755279028147e+02 2.142418421539153406e-01 1.588499999999663537e+01 MDI_1
9.183416756892190237e-13 2.399999999999999467e+00 1.339648668132828391e+02 2.208136339352998467e-01 1.567999999999674898e+01 MDI_1
9.214058876844379088e-13 2.499999999999999556e+00 1.358890116246458604e+02 2.273054729318467193e-01 1.549699999999685041e+01 MDI_1
9.201317139223615164e-13 2.599999999999999645e+00 1.377669517972942970e+02 2.337193243599512416e-01 1.533299999999694130e+01 MDI_1
8.782728083722767162e-13 2.699999999999999289e+00 1.396016007249110658e+02 2.400571568338415174e-01 1.518499999999702332e+01 MDI_1
9.072380688556578591e-13 2.799999999999999378e+00 1.413955874787071139e+02 2.463209073885191669e-01 1.505099999999709759e+01 MDI_1
8.945291523206075893e-13 2.899999999999999467e+00 1.431512936478059714e+02 2.525124762304607473e-01 1.492899999999716520e+01 MDI_1
8.669398059061151385e-13 2.999999999999999556e+00 1.448708843095090231e+02 2.586337246303450632e-01 1.481799999999722672e+01 MDI_1
8.840890379447159777e-13 3.099999999999999645e+00 1.465563342279175174e+02 2.646864478344199689e-01 1.471599999999728325e+01 MDI_1
8.506642338575888869e-13 3.199999999999999289e+00 1.482094501452567954e+02 2.706723967063714986e-01 1.462299999999733480e+01 MDI_1
8.583600256694256012e-13 3.299999999999999378e+00 1.498318898517344735e+02 2.765932573585835330e-01 1.453699999999738246e+01 MDI_1
9.308169166797219267e-13 3.399999999999999467e+00 1.514251785823755938e+02 2.824506649291573801e-01 1.445699999999742680e+01 MDI_1
9.107342012918053968e-13 3.499999999999999112e+00 1.529907231826232703e+02 2.882461857665656324e-01 1.438399999999746726e+01 MDI_1
8.451683412563510287e-13 3.599999999999999201e+00 1.545298244010141104e+02 2.939813371714060097e-01 1.431599999999750494e+01 MDI_1
8.476547357443211016e-13 3.699999999999999289e+00 1.560436876014002223e+02 2.996575761616536715e-01 1.425299999999753986e+01 MDI_1
