# P, Pc, E, M, R, EoS
9.995482738934487592e-13 5.000000000000000000e-01 7.594002933454505921e+01 8.657397040578659886e-02 1.146920000001835831e+02 MDI_4
9.973883487954290481e-13 5.999999999999999778e-01 7.963850418872432613e+01 9.342140591515030179e-02 5.808399999995533136e+01 MDI_4
9.967176821924150834e-13 6.999999999999999556e-01 8.298716097376059508e+01 1.017909419979815544e-01 4.030099999999677607e+01 MDI_4
9.967836071176017760e-13 7.999999999999999334e-01 8.606641062766497896e+01 1.108780690574998062e-01 3.198100000001610255e+01 MDI_4
9.873440650589139554e-13 8.999999999999999112e-01 8.893046086742414502e+01 1.203320130986106767e-01 2.727900000001035608e+01 MDI_4
9.846345270989439481e-13 9.999999999999998890e-01 9.161780000000000257e+01 1.299650340222058276e-01 2.430400000000672023e+01 MDI_4
9.630319903587563144e-13 1.099999999999999867e+00 9.415686314999950923e+01 1.396677476838817378e-01 2.227700000000424296e+01 MDI_4
9.907168197808536683e-13 1.199999999999999734e+00 9.656932947341300633e+01 1.493731797055727617e-01 2.081800000000245987e+01 MDI_4
9.932294800157923060e-13 1.299999999999999822e+00 9.887215475563193934e+01 1.590389653240888712e-01 1.972700000000112652e+01 MDI_4
9.682308483660469635e-13 1.399999999999999911e+00 1.010788839176615568e+02 1.686377601484297384e-01 1.888500000000009749e+01 MDI_4
9.950592450773213250e-13 1.499999999999999778e+00 1.032005315061358601e+02 1.781517473480742908e-01 1.821799999999928232e+01 MDI_4
9.234636173945390089e-13 1.599999999999999645e+00 1.052461915572390865e+02 1.875693502688406122e-01 1.768099999999862604e+01 MDI_4
9.154063003158639644e-13 1.699999999999999734e+00 1.072234716577382017e+02 1.968831799789595438e-01 1.723899999999808585e+01 MDI_4
9.487589875271151152e-13 1.799999999999999822e+00 1.091388092013982600e+02 2.060886950994297584e-01 1.687099999999763611e+01 MDI_4
9.738236551866276922e-13 1.899999999999999689e+00 1.109977065587611378e+02 2.151833508435412046e-01 1.656099999999725725e+01 MDI_4
9.848261281219859622e-13 1.999999999999999556e+00 1.128049091108516961e+02 2.241660086820541908e-01 1.629699999999693460e+01 MDI_4
9.146251218988743616e-13 2.099999999999999645e+00 1.145645421834603326e+02 2.330365022483361082e-01 1.607099999999665840e+01 MDI_4
9.403185814201487547e-13 2.199999999999999734e+00 1.162802178707198522e+02 2.417953813429749022e-01 1.587499999999664091e+01 MDI_4
9.414719279487657256e-13 2.299999999999999822e+00 1.179551194341821940e+02 2.504436981877136703e-01 1.570399999999673568e+01 MDI_4
8.899539909406860702e-13 2.399999999999999467e+00 1.195920687535958109e+02 2.589828530535775442e-01 1.555399999999681881e+01 MDI_4
8.873040389792160034e-13 2.499999999999999556e+00 1.211935807963542686e+02 2.674145049542658858e-01 1.542199999999689197e+01 MDI_4
9.840094077182787322e-13 2.599999999999999645e+00 1.227619080228619168e+02 2.757404727652026932e-01 1.530399999999695737e+01 MDI_4
8.492805083204853592e-13 2.699999999999999289e+00 1.242990769026985021e+02 2.839626970441765930e-01 1.519999999999701501e+01 MDI_4
9.576674262712956460e-13 2.799999999999999378e+00 1.258069181834494827e+02 2.920831795331653713e-01 1.510599999999706711e+01 MDI_4
9.652972847892388474e-13 2.899999999999999467e+00 1.272870921660100691e+02 3.001039706025304676e-01 1.502199999999711366e+01 MDI_4
8.350497666704576699e-13 2.999999999999999556e+00 1.287411099540279338e+02 3.080271210678051652e-01 1.494699999999715523e+01 MDI_4
9.993576771808372145e-13 3.099999999999999645e+00 1.301703514316512269e+02 3.158546826403183516e-01 1.487799999999719347e+01 MDI_4
8.398756336284649089e-13 3.199999999999999289e+00 1.315760805627136847e+02 3.235886910963040042e-01 1.481699999999722728e+01 MDI_4
9.424678705834830907e-13 3.299999999999999378e+00 1.329594584817897100e+02 3.312311551731546566e-01 1.475999999999725887e+01 MDI_4
9.493567473781678940e-13 3.399999999999999467e+00 1.343215547531806919e+02 3.387840473611501979e-01 1.470899999999728713e+01 MDI_4
8.071765369208239479e-13 3.499999999999999112e+00 1.356633571006686054e+02 3.462492997424405083e-01 1.466299999999731263e+01 MDI_4
9.838482288559818704e-13 3.599999999999999201e+00 1.369857798535914810e+02 3.536288047566235049e-01 1.461899999999733701e+01 MDI_4
7.878110895351967889e-13 3.699999999999999289e+00 1.382896713096349686e+02 3.609244089429907154e-01 1.458099999999735807e+01 MDI_4
9.490046670517842320e-13 3.799999999999999378e+00 1.395758201788775068e+02 3.681379066046038817e-01 1.454399999999737858e+01 MDI_4
9.879452798968762529e-13 3.899999999999999467e+00 1.408449612449586539e+02 3.752710505732306245e-01 1.451099999999739687e+01 MDI_4
9.988419993871590865e-13 3.999999999999999112e+00 1.420977803561743826e+02 3.823255430332300198e-01 1.447999999999741405e+01 MDI_4
7.924640549386492864e-13 4.099999999999999645e+00 1.433349188406329517e+02 3.893030407951112992e-01 1.445299999999742901e+01 MDI_4
9.733867025981664975e-13 4.199999999999999289e+00 1.445569774244027030e+02 3.962051500299715867e-01 1.442599999999744398e+01 MDI_4
9.098839747771257451e-13 4.299999999999998934e+00 1.457645197191428394e+02 4.030334385011810627e-01 1.440199999999745728e+01 MDI_4
8.171423568514314283e-13 4.399999999999998579e+00 1.469580753354688341e+02 4.097894249572134329e-01 1.437999999999746947e+01 MDI_4
9.246658436618723077e-13 4.499999999999999112e+00 1.481381426698419830e+02 4.164745727941149278e-01 1.435899999999748111e+01 MDI_4
8.446542523374009412e-13 4.599999999999998757e+00 1.493051914057408283e+02 4.230903260104606489e-01 1.433999999999749164e+01 MDI_4
8.153190079192123435e-13 4.699999999999999289e+00 1.504596647640071865e+02 4.296380617165875271e-01 1.432199999999750162e+01 MDI_4
9.444401404819409134e-13 4.799999999999998934e+00 1.516019815323444959e+02 4.361191280991408292e-01 1.430499999999751104e+01 MDI_4
9.796108839964149319e-13 4.899999999999998579e+00 1.527325378998120300e+02 4.425348482784934312e-01 1.428899999999751991e+01 MDI_4
8.645287854146546128e-13 4.999999999999999112e+00 1.538517091186674293e+02 4.488864797382480232e-01 1.427499999999752767e+01 MDI_4
7.520261575548403386e-13 5.099999999999998757e+00 1.549598510129504803e+02 4.551752609700696062e-01 1.426199999999753487e+01 MDI_4
7.697395625321810413e-13 5.199999999999999289e+00 1.560573013506845541e+02 4.614023915880033355e-01 1.424899999999754208e+01 MDI_4
8.924311560259288951e-13 5.299999999999998934e+00 1.571443810944235224e+02 4.675690346955069243e-01 1.423699999999754873e+01 MDI_4
8.504687749424460309e-13 5.399999999999998579e+00 1.582213955430333954e+02 4.736763236647374420e-01 1.422599999999755482e+01 MDI_4
7.652304126003562314e-13 5.499999999999999112e+00 1.592886353760175382e+02 4.797253578011289044e-01 1.421599999999756037e+01 MDI_4
7.818629597984071736e-13 5.599999999999998757e+00 1.603463776103337750e+02 4.857172052113029048e-01 1.420599999999756591e+01 MDI_4
7.380678371555516412e-13 5.699999999999999289e+00 1.613948864784763941e+02 4.916529044535508652e-01 1.419699999999757090e+01 MDI_4
9.249349646593594470e-13 5.799999999999998934e+00 1.624344142355772647e+02 4.975334658972016544e-01 1.418799999999757588e+01 MDI_4
8.918601982521655610e-13 5.899999999999998579e+00 1.634652019023952221e+02 5.033598723717922496e-01 1.417999999999758032e+01 MDI_4
7.770954089938521639e-13 5.999999999999999112e+00 1.644874799502933058e+02 5.091330803088656154e-01 1.417299999999758420e+01 MDI_4
7.407500751270605683e-13 6.099999999999998757e+00 1.655014689336298943e+02 5.148540186975398836e-01 1.416599999999758808e+01 MDI_4
7.733703380834868209e-13 6.199999999999998401e+00 1.665073800744025334e+02 5.205235923930354724e-01 1.415899999999759196e+01 MDI_4
7.093576892249832810e-13 6.299999999999998934e+00 1.675054158034650413e+02 5.261426828426186697e-01 1.415299999999759528e+01 MDI_4
8.486861399641339705e-13 6.399999999999998579e+00 1.684957702621866247e+02 5.317121481006342743e-01 1.414699999999759861e+01 MDI_4
9.114046181150508046e-13 6.499999999999998224e+00 1.694786297680205962e+02 5.372328230056307996e-01 1.414099999999760193e+01 MDI_4
8.460885046122096791e-13 6.599999999999998757e+00 1.704541732470980833e+02 5.427055214346198087e-01 1.413599999999760470e+01 MDI_4
8.390295540902421811e-13 6.699999999999998401e+00 1.714225726366496190e+02 5.481310356824536933e-01 1.413099999999760747e+01 MDI_4
7.020993236478575939e-13 6.799999999999998934e+00 1.723839932597803681e+02 5.535101439906583431e-01 1.412699999999760969e+01 MDI_4
9.576333309930628124e-13 6.899999999999998579e+00 1.733385941748804271e+02 5.588435951333176055e-01 1.412199999999761246e+01 MDI_4
9.101108122627685089e-13 6.999999999999998224e+00 1.742865285017308850e+02 5.641321206660899756e-01 1.411799999999761468e+01 MDI_4
9.100317951229396145e-13 7.099999999999998757e+00 1.752279437261739190e+02 5.693764394211915381e-01 1.411399999999761690e+01 MDI_4
9.568915916556234066e-13 7.199999999999998401e+00 1.761629819850393233e+02 5.745772560445057131e-01 1.410999999999761911e+01 MDI_4
8.387391528797679433e-13 7.299999999999998934e+00 1.770917803328653690e+02 5.797352423785165909e-01 1.410699999999762078e+01 MDI_4
7.639937291093562283e-13 7.399999999999998579e+00 1.780144709918127433e+02 5.848510687535410923e-01 1.410399999999762244e+01 MDI_4
7.252034565265642387e-13 7.499999999999998224e+00 1.789311815860443176e+02 5.899253834064588364e-01 1.410099999999762410e+01 MDI_4
7.188728216396138606e-13 7.599999999999998757e+00 1.798420353617327692e+02 5.949588246578355610e-01 1.409799999999762576e+01 MDI_4
7.437852685630563732e-13 7.699999999999998401e+00 1.807471513937555301e+02 5.999520051714745117e-01 1.409499999999762743e+01 MDI_4
9.816545844522665486e-13 7.799999999999998046e+00 1.816466447800465289e+02 6.049055321005809560e-01 1.409199999999762909e+01 MDI_4
6.862316104230558249e-13 7.899999999999998579e+00 1.825406268244918522e+02 6.098199967198573157e-01 1.408999999999763020e+01 MDI_4
9.810046674887430621e-13 7.999999999999998224e+00 1.834292052091818448e+02 6.146959750738328898e-01 1.408699999999763186e+01 MDI_4
9.094718957027313343e-13 8.099999999999997868e+00 1.843124841567654073e+02 6.195340309156353031e-01 1.408499999999763297e+01 MDI_4
8.650020512811151807e-13 8.199999999999999289e+00 1.851905645835913958e+02 6.243347150042614091e-01 1.408299999999763408e+01 MDI_4
8.461775807637791085e-13 8.299999999999997158e+00 1.860635442442664953e+02 6.290985652035216980e-01 1.408099999999763519e+01 MDI_4
8.508256685312843830e-13 8.399999999999998579e+00 1.869315178682091982e+02 6.338261123099294680e-01 1.407899999999763629e+01 MDI_4
6.631329332401035550e-13 8.499999999999998224e+00 1.877945772887337625e+02 6.385178691423035735e-01 1.407799999999763685e+01 MDI_4
7.045947440666508794e-13 8.599999999999997868e+00 1.886528115651564690e+02 6.431743393852406010e-01 1.407599999999763796e+01 MDI_4
